host_time_s,seq,device_time_s,roll,pitch,yaw,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z
2.0662829019997844,1,1620.42,86.5,-2.0,96.6,-2.38,-1.13,-2.53,-0.04,1.16,0.24
2.0723323619999974,2,1620.43,85.9,-2.7,97.0,-2.67,-2.76,-4.58,-0.16,1.41,0.11
2.0823358080001526,3,1620.44,85.7,-3.1,97.3,-0.52,-3.03,-4.42,-0.25,1.5,-0.1
2.0922715299998345,4,1620.45,85.7,-3.5,97.7,-0.06,-2.59,-3.83,-0.26,1.5,-0.29
2.1022386029999325,5,1620.46,85.6,-3.8,97.9,-0.46,-1.73,-3.11,-0.27,1.44,-0.36
2.1123415359998035,6,1620.47,85.6,-4.1,98.0,-0.52,-0.63,-2.29,-0.32,1.36,-0.36
2.1223265570001786,7,1620.48,85.5,-4.3,98.0,-0.2,0.63,-1.77,-0.3,1.27,-0.42
2.132377583000107,8,1620.49,85.5,-4.5,97.9,0.64,2.18,-1.31,-0.25,1.18,-0.44
2.1423071620001792,9,1620.5,85.7,-4.6,97.6,1.11,3.56,-1.09,-0.22,1.05,-0.39
2.152336890999777,10,1620.51,85.8,-4.7,97.2,1.31,4.38,-1.1,-0.2,0.95,-0.3
2.1622998640000333,11,1620.52,86.0,-4.9,96.8,1.4,4.84,-1.23,-0.21,0.87,-0.24
2.1723015259999556,12,1620.53,86.2,-5.1,96.3,1.28,5.23,-1.34,-0.17,0.85,-0.15
2.1822149290001107,13,1620.54,86.3,-5.2,95.8,1.22,5.17,-1.31,-0.12,0.88,-0.04
2.19232666400012,14,1620.55,86.5,-5.4,95.3,1.13,4.83,-1.28,-0.08,0.91,0.01
2.2022287989998404,15,1620.56,86.7,-5.5,94.8,0.68,4.36,-1.09,-0.02,0.98,0.06
2.2122180810001737,16,1620.57,86.8,-5.6,94.4,0.41,3.85,-0.81,0.04,1.04,0.08
2.222282140000061,17,1620.58,86.9,-5.7,94.0,0.34,3.39,-0.43,0.13,1.06,0.11
2.2323737799997616,18,1620.59,86.9,-5.7,93.7,0.34,2.69,0.05,0.21,1.08,0.14
2.242303713000183,19,1620.6,87.0,-5.7,93.5,0.38,2.07,0.45,0.25,1.07,0.13
2.252378733000114,20,1620.61,87.0,-5.6,93.3,0.38,1.58,0.76,0.24,1.01,0.12
