percentile,initial_threshold,runtime_threshold,events,event_coverage_pct,short_event_gaps,long_event_gaps,belt_minima,assists,matched_assists,missed_assists,false_assists,short_assist_gaps,crossing_to_peak_ms,motor_vs_peak_ms,speed_mps
82.0,0.0762438192920373,0.07634302711510252,56,103.37046253889545,2,2,27,24,21,6,3,0,39.95194449998962,-19.951944499989622,0.4
82.0,0.1395120510243421,0.1406340296718334,66,99.75724524750399,4,0,32,32,32,0,0,0,40.039883499957796,-20.039883499957796,0.6
82.0,0.18962359538855572,0.19674671140354863,77,98.2235884397529,0,0,39,38,38,1,0,0,59.84901900001205,-39.84901900001205,0.8
82.0,0.21911194843155654,0.2231387183838805,85,101.13855832601169,0,0,42,42,41,1,1,0,60.1463219999232,-40.1463219999232,1.0
83.0,0.07731274036708806,0.07807989769427824,55,101.52456142212947,2,1,27,27,22,5,5,0,39.9401829999988,-19.940182999998797,0.4
83.0,0.14164003501389819,0.14504915000910398,65,98.24577183466302,2,0,32,32,32,0,0,0,40.039883499957796,-20.039883499957796,0.6
83.0,0.19362865633781498,0.20269247130528417,78,99.499219458451,0,0,39,39,39,0,0,0,59.815454000045065,-39.815454000045065,0.8
83.0,0.22515511998092674,0.22912604516615262,85,101.13855832601169,0,0,42,42,41,1,1,0,60.11491050003315,-40.11491050003315,1.0
84.0,0.07920478148120787,0.08036614820216992,55,101.52456142212947,3,2,27,27,23,4,4,0,39.88001700008681,-19.88001700008681,0.4
84.0,0.144127343660175,0.14982594196772164,66,99.75724524750399,4,0,32,32,32,0,0,0,39.857835000020714,-19.857835000020714,0.6
84.0,0.20069702691285443,0.20873754554111953,78,99.499219458451,0,0,39,39,39,0,0,0,59.88258399997903,-39.88258399997903,0.8
84.0,0.22929605258719177,0.23544684648500103,85,101.13855832601169,0,0,42,41,40,2,1,0,60.12895499998194,-40.12895499998194,1.0
85.0,0.08192538952319296,0.08294492582163145,55,101.52456142212947,3,1,27,27,23,4,4,0,39.88001700008681,-19.88001700008681,0.4
85.0,0.15261182632042053,0.15608297816804054,65,98.24577183466302,1,0,32,32,32,0,0,0,39.857835000020714,-19.857835000020714,0.6
85.0,0.205720364073575,0.21495424165974497,78,99.499219458451,0,0,39,39,39,0,0,0,59.96265399994627,-39.96265399994627,0.8
85.0,0.253970135664937,0.2454851083751784,85,101.13855832601169,0,0,42,41,40,2,1,0,60.061271999984456,-40.061271999984456,1.0
86.0,0.08612493342834382,0.08639265427717255,54,99.67866030536348,1,1,27,27,25,2,2,0,39.88001700008681,-19.88001700008681,0.4
86.0,0.15975822989163677,0.1639004879107115,65,98.24577183466302,1,0,32,32,32,0,0,0,31.89402750001591,-11.894027500015909,0.6
86.0,0.2113669971450933,0.2216994692952234,78,99.499219458451,0,0,39,39,39,0,0,0,51.935916000047655,-31.935916000047655,0.8
86.0,0.26298785361814714,0.2545430611489065,85,101.13855832601169,0,0,42,41,40,2,1,0,59.97061399989434,-39.97061399989434,1.0
87.0,0.0897303118599653,0.08968985409155773,54,99.67866030536348,1,1,27,27,25,2,2,0,31.292630000052668,-11.292630000052668,0.4
87.0,0.16890287422307815,0.172984729568381,65,98.24577183466302,1,0,32,32,32,0,0,0,30.910903000062717,-10.910903000062717,0.6
87.0,0.21794720457053796,0.23041992393417643,78,99.499219458451,0,0,39,39,39,0,0,0,49.5039170000382,-29.5039170000382,0.8
87.0,0.2821964220815385,0.26760517516189797,85,101.13855832601169,0,0,42,41,40,2,1,0,59.80030499995337,-39.80030499995337,1.0
88.0,0.09385084873091455,0.09299539332191174,54,99.67866030536348,0,0,27,27,26,1,1,0,31.340226000111215,-11.340226000111215,0.4
88.0,0.1836948643742169,0.18302744860326214,65,98.24577183466302,0,0,32,32,32,0,0,0,30.705272499972125,-10.705272499972125,0.6
88.0,0.2232666793682325,0.24048441584725203,78,99.499219458451,0,0,39,39,39,0,0,0,49.10809300008623,-29.108093000086228,0.8
88.0,0.30128637874080155,0.2837699275528273,85,101.13855832601169,0,0,42,42,41,1,1,0,51.92010349992415,-31.920103499924153,1.0
89.0,0.09653560914524249,0.09608089207661763,54,99.67866030536348,0,0,27,27,26,1,1,0,31.145026000103826,-11.145026000103826,0.4
89.0,0.1871176478366074,0.19415769983944198,65,98.24577183466302,0,0,32,32,32,0,0,0,29.04341399994337,-9.043413999943368,0.6
