t_s,timestamp,state,phase,phase_progress,belt_length,belt_velocity,target_belt_length,profile,assist_gain,force_n,assist_force_n,impedance_force_n,current_a,saturated,faults
0.0119,64.4100,INIT,STANCE,,-30.100,11.800,-30.100,0.0000,0.0000,-0.0177,0.0000,-0.0177,0.0000,0,
0.0198,64.4200,INIT,STANCE,,-29.900,7.900,-29.900,0.0000,0.0000,-0.0119,0.0000,-0.0119,0.0000,0,
0.0318,64.4300,INIT,STANCE,,-29.800,8.800,-29.800,0.0000,0.0000,-0.0132,0.0000,-0.0132,0.0000,0,
0.0398,64.4400,INIT,STANCE,,-29.800,9.600,-29.800,0.0000,0.0000,-0.0144,0.0000,-0.0144,0.0000,0,
0.0519,64.4500,INIT,STANCE,,-29.700,6.100,-29.700,0.0000,0.0000,-0.0092,0.0000,-0.0092,0.0000,0,
0.0600,64.4600,INIT,STANCE,,-29.600,3.000,-29.600,0.0000,0.0000,-0.0045,0.0000,-0.0045,0.0000,0,
0.0718,64.4700,INIT,STANCE,,-29.600,1.200,-29.600,0.0000,0.0000,-0.0018,0.0000,-0.0018,0.0000,0,
0.0798,64.4800,INIT,STANCE,,-29.600,0.400,-29.600,0.0000,0.0000,-0.0006,0.0000,-0.0006,0.0000,0,
0.0919,64.4900,INIT,STANCE,,-29.600,0.000,-29.600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,
0.0999,64.5000,INIT,STANCE,,-29.600,0.000,-29.600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,
0.1119,64.5100,INIT,STANCE,,-29.600,0.000,-29.600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,
0.1200,64.5200,INIT,STANCE,,-29.600,0.100,-29.600,0.0000,0.0000,-0.0002,0.0000,-0.0002,0.0000,0,
0.1318,64.5300,INIT,STANCE,,-29.600,0.000,-29.600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,
0.1399,64.5400,INIT,STANCE,,-29.600,0.000,-29.600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,
0.1518,64.5500,INIT,STANCE,,-29.600,0.000,-29.600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,
0.1599,64.5600,INIT,STANCE,,-29.600,-0.100,-29.600,0.0000,0.0000,0.0002,0.0000,0.0002,0.0461,0,
0.1718,64.5700,INIT,STANCE,,-29.600,0.300,-29.600,0.0000,0.0000,-0.0004,0.0000,-0.0004,0.0000,0,
0.1798,64.5800,INIT,STANCE,,-29.600,-0.100,-29.600,0.0000,0.0000,0.0002,0.0000,0.0002,0.0461,0,
0.1919,64.5900,INIT,STANCE,,-29.600,0.700,-29.600,0.0000,0.0000,-0.0010,0.0000,-0.0010,0.0000,0,
0.2000,64.6000,INIT,STANCE,,-29.600,-0.800,-29.600,0.0000,0.0000,0.0012,0.0000,0.0012,0.0474,0,
0.2119,64.6100,INIT,STANCE,,-29.600,1.000,-29.600,0.0000,0.0000,-0.0015,0.0000,-0.0015,0.0000,0,
