stride_id,timestamp,gait_cluster,cluster_confidence,ood,d_patient,d_healthy,d_target,healthy_region_threshold,manifold_deviation,delta_healthy,estimated_swing_time,estimated_stance_time,estimated_stride_time,estimated_swing_ratio,estimated_stance_ratio,estimated_swing_stance_ratio,phase_source,swing_symmetry_ratio,stance_symmetry_ratio,swing_stance_symmetry_ratio,belt_excursion,peak_belt_velocity,trunk_acc_rms,trunk_gyro_rms,swing_ratio_error,belt_excursion_error,temporal_symmetry_error,trunk_error,biomechanical_deviation,reference_source,decision_state,raw_assist_gain,assist_gain,target_belt_length,motor_position,motor_velocity,motor_current
17,69.16,S0,1.0,0,0.8596727286881869,2.260744092757844,2.260744092757844,1.408510704557446,1.0,-0.25449642650410853,0.5999999999999943,0.7900000000000063,1.3900000000000006,0.4316546762589885,0.5683453237410114,0.7594936708860628,belt_cycle,,,,58.8,289.7,0.12098301280783151,0.9982549031578518,0.0,0.5013568521031208,,0.0,0.3509497964721845,healthy_reference,COMBINED_DEVIATION,0.2807598371777476,0.0,-72.42464771872591,-2.31,4.41,0.48
18,70.71,S0,1.0,0,0.9232392660238965,1.9960122414319132,1.9960122414319132,1.408510704557446,0.7078167350562601,0.010235424821822159,0.5600000000000023,0.9899999999999949,1.5499999999999972,0.3612903225806473,0.6387096774193527,0.5656565656565709,belt_cycle,,,,62.4,320.7,0.08420347775701728,1.1655530057250745,0.12635351777839254,0.47082767978290363,,0.0,0.3674854311815503,healthy_reference,COMBINED_DEVIATION,0.2510391077044869,0.1,-82.42464771872591,-2.28,5.29,0.42
19,72.28,S0,1.0,0,0.49478809755943104,1.902110383686088,1.902110383686088,1.408510704557446,0.5946845946384398,0.10413728256764743,0.6199999999999903,0.950000000000017,1.5700000000000074,0.3949044585987181,0.6050955414012819,0.6526315789473466,belt_cycle,,,,76.2,303.1,0.10534546452290156,1.146035756442437,0.0,0.35379918588873804,,0.0,0.2476594301221166,healthy_reference,COMBINED_DEVIATION,0.15797547117306981,0.15797547117306981,-88.22219483603288,-2.33,5.45,0.28
20,73.9,S0,1.0,0,0.8380746554762781,1.9066868381941766,1.9066868381941766,1.408510704557446,0.600198267173293,0.09956082805955879,0.6300000000000097,0.9899999999999949,1.6200000000000045,0.3888888888888938,0.6111111111111063,0.6363636363636495,belt_cycle,,,,88.6,361.6,0.12041593153619722,1.247111633780335,0.0,0.24864314789687922,,0.0,0.17405020352781544,healthy_reference,COMBINED_DEVIATION,0.1114059336345477,0.15797547117306981,-88.22219483603288,-2.43,5.79,0.36
21,75.51,S0,1.0,0,0.7817664634113239,1.8018188689405712,1.8018188689405712,1.408510704557446,0.473854251115123,0.2044287973131642,0.6499999999999915,0.960000000000008,1.6099999999999994,0.403726708074529,0.596273291925471,0.6770833333333188,belt_cycle,,,,87.5,333.5,0.10776131581582296,1.0273074726198985,0.0,0.25797150610583436,,0.0,0.18058005427408405,healthy_reference,COMBINED_DEVIATION,0.10645947226338337,0.15797547117306981,-88.22219483603288,-2.5,3.64,0.36
22,77.19,S0,1.0,0,0.9583980568032056,1.9856299011657368,1.9856299011657368,1.408510704557446,0.6953081819237117,0.02061776508799862,0.6400000000000006,1.039999999999992,1.6799999999999926,0.380952380952383,0.6190476190476171,0.6153846153846206,belt_cycle,,,,97.2,364.2,0.13826588475667018,1.0002459971097988,0.0,0.1757123473541383,,0.0,0.1229986431478968,healthy_reference,COMBINED_DEVIATION,0.08340824243765774,0.15797547117306981,-88.22219483603288,-2.51,4.55,0.29
23,78.82,S0,1.0,0,1.0501263266935512,1.8097463671165137,1.8097463671165137,1.408510704557446,0.4834052318766577,0.1965012991372217,0.6700000000000017,0.9599999999999937,1.6299999999999955,0.41104294478527825,0.5889570552147217,0.697916666666673,belt_cycle,,,,94.8,369.5,0.12846389973211564,1.1556770610436589,0.0,0.19606512890094974,,0.0,0.1372455902306648,healthy_reference,COMBINED_DEVIATION,0.08143633064006722,0.15797547117306981,-88.22219483603288,-2.61,3.87,0.28
24,80.47,S0,1.0,0,0.713782603456725,1.8053564186254576,1.8053564186254576,1.408510704557446,0.4781162601668383,0.2008912476282778,0.6500000000000057,1.0,1.6500000000000057,0.39393939393939603,0.606060606060604,0.6500000000000057,belt_cycle,,,,81.60000000000001,300.6,0.10548354477929972,1.306038671215483,0.0,0.30800542740841236,,0.0,0.21560379918588865,healthy_reference,COMBINED_DEVIATION,0.1274749925321631,0.15797547117306981,-88.22219483603288,-2.63,2.87,0.24
25,82.19,S0,1.0,0,0.5196166093768003,1.7630118111535233,1.7630118111535233,1.408510704557446,0.42709984586522315,0.24323585510021206,0.6599999999999966,1.0600000000000023,1.7199999999999989,0.38372093023255643,0.6162790697674436,0.6226415094339577,belt_cycle,,,,82.1,309.4,0.13030157432502165,1.2956075154103506,0.0,0.3037652645861601,,0.0,0.21263568521031206,healthy_reference,COMBINED_DEVIATION,0.121380941435633,0.15797547117306981,-88.22219483603288,-2.68,2.43,0.12
26,83.78,S0,1.0,0,0.9748902661850518,1.8876616729346274,1.8876616729346274,1.408510704557446,0.5772769137593746,0.11858599331910802,0.6899999999999977,0.9000000000000057,1.5900000000000034,0.433962264150941,0.5660377358490589,0.7666666666666593,belt_cycle,,,,97.5,326.9,0.1383384444136778,1.1367749103168614,0.0,0.1731682496607869,,0.0,0.12121777476255081,healthy_reference,COMBINED_DEVIATION,0.07647759906810207,0.15797547117306981,-88.22219483603288,-2.64,2.9,0.21
27,85.41,S0,1.0,0,0.7704273889341302,2.0086187588037303,2.0086187588037303,1.408510704557446,0.7230049573952533,-0.002371092549994902,0.6400000000000006,0.9899999999999949,1.6299999999999955,0.3926380368098174,0.6073619631901827,0.6464646464646504,belt_cycle,,,,90.19999999999999,328.3,0.12975910860686224,1.43427306565298,0.0,0.23507462686567165,,0.0,0.16455223880597014,healthy_reference,COMBINED_DEVIATION,0.11340972928526966,0.15797547117306981,-88.22219483603288,-2.6,3.24,0.17
28,87.05,S0,1.0,0,0.9583986510891453,1.9353650069015043,1.9353650069015043,1.408510704557446,0.6347494750727722,0.07088265935223115,0.6500000000000057,0.9899999999999949,1.6400000000000006,0.3963414634146375,0.6036585365853625,0.6565656565656657,belt_cycle,,,,87.7,327.4,0.15533881358805193,1.272141081483132,0.0,0.2562754409769334,,0.0,0.17939280868385335,healthy_reference,COMBINED_DEVIATION,0.11730491993110381,0.15797547117306981,-88.22219483603288,-2.61,4.71,0.38
29,88.66,S0,1.0,0,1.145175709542638,1.8719022885794612,1.8719022885794612,1.408510704557446,0.558290144737264,0.13434537767427424,0.6599999999999966,0.9500000000000028,1.6099999999999994,0.4099378881987558,0.5900621118012442,0.6947368421052574,belt_cycle,,,,93.6,361.0,0.10945990003709018,1.5113760273655505,0.0,0.20624151967435547,,0.0,0.14436906377204883,healthy_reference,COMBINED_DEVIATION,0.08998755571237171,0.15797547117306981,-88.22219483603288,-2.66,4.16,0.22
