t_s,timestamp,state,phase,phase_progress,belt_length,belt_velocity,target_belt_length,profile,assist_gain,force_n,assist_force_n,impedance_force_n,current_a,saturated,faults
0.0202,163.5400,INIT,STANCE,,-68.800,-12.300,-68.800,0.0000,0.0000,0.0185,0.0000,0.0185,0.0000,1,
0.0283,163.5500,INIT,STANCE,,-69.000,-14.500,-69.000,0.0000,0.0000,0.0218,0.0000,0.0218,0.0000,1,
0.0402,163.5600,INIT,STANCE,,-69.100,-12.800,-69.100,0.0000,0.0000,0.0192,0.0000,0.0192,0.0000,1,
0.0483,163.5700,INIT,STANCE,,-69.200,-8.900,-69.200,0.0000,0.0000,0.0134,0.0000,0.0134,0.0000,1,
0.0603,163.5800,INIT,STANCE,,-69.300,-4.500,-69.300,0.0000,0.0000,0.0067,0.0000,0.0067,0.0000,1,
0.0683,163.5900,INIT,STANCE,,-69.300,-2.000,-69.300,0.0000,0.0000,0.0030,0.0000,0.0030,0.0000,1,
0.0802,163.6000,INIT,STANCE,,-69.300,-0.800,-69.300,0.0000,0.0000,0.0012,0.0000,0.0012,0.0000,1,
0.0883,163.6100,INIT,STANCE,,-69.300,-0.600,-69.300,0.0000,0.0000,0.0009,0.0000,0.0009,0.0000,1,
0.1002,163.6200,INIT,STANCE,,-69.300,-0.500,-69.300,0.0000,0.0000,0.0008,0.0000,0.0008,0.0000,1,
0.1082,163.6300,INIT,STANCE,,-69.300,-0.800,-69.300,0.0000,0.0000,0.0012,0.0000,0.0012,0.0000,1,
0.1202,163.6400,INIT,STANCE,,-69.300,-1.000,-69.300,0.0000,0.0000,0.0015,0.0000,0.0015,0.0000,1,
0.1284,163.6500,INIT,STANCE,,-69.300,-1.600,-69.300,0.0000,0.0000,0.0024,0.0000,0.0024,0.0000,1,
0.1403,163.6600,INIT,STANCE,,-69.400,-2.000,-69.400,0.0000,0.0000,0.0030,0.0000,0.0030,0.0000,1,
0.1483,163.6700,INIT,STANCE,,-69.400,-2.600,-69.400,0.0000,0.0000,0.0039,0.0000,0.0039,0.0000,1,
0.1603,163.6800,INIT,STANCE,,-69.400,-1.500,-69.400,0.0000,0.0000,0.0023,0.0000,0.0023,0.0000,1,
0.1683,163.6900,INIT,STANCE,,-69.400,-0.700,-69.400,0.0000,0.0000,0.0010,0.0000,0.0010,0.0000,1,
0.1803,163.7000,INIT,STANCE,,-69.400,0.000,-69.400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,
0.1883,163.7100,INIT,STANCE,,-69.400,0.000,-69.400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,
0.2003,163.7200,INIT,STANCE,,-69.400,0.000,-69.400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,
0.2083,163.7300,INIT,STANCE,,-69.400,0.000,-69.400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,
0.2203,163.7400,INIT,STANCE,,-69.400,0.100,-69.400,0.0000,0.0000,-0.0002,0.0000,-0.0002,0.0000,0,
0.2283,163.7500,INIT,STANCE,,-69.400,-0.100,-69.400,0.0000,0.0000,0.0002,0.0000,0.0002,0.0000,1,
0.2403,163.7600,INIT,STANCE,,-69.400,0.100,-69.400,0.0000,0.0000,-0.0002,0.0000,-0.0002,0.0000,0,
0.2483,163.7700,INIT,STANCE,,-69.400,0.000,-69.400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,
0.2602,163.7800,INIT,STANCE,,-69.400,0.000,-69.400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,
0.2682,163.7900,INIT,STANCE,,-69.400,0.000,-69.400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,
0.2804,163.8000,INIT,STANCE,,-69.400,0.000,-69.400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,
0.2883,163.8100,INIT,STANCE,,-69.400,-0.100,-69.400,0.0000,0.0000,0.0002,0.0000,0.0002,0.0000,1,
0.3002,163.8200,INIT,STANCE,,-69.400,0.100,-69.400,0.0000,0.0000,-0.0002,0.0000,-0.0002,0.0000,0,
0.3082,163.8300,INIT,STANCE,,-69.400,0.000,-69.400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,
0.3202,163.8400,INIT,STANCE,,-69.400,0.000,-69.400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,
0.3282,163.8500,INIT,STANCE,,-69.400,0.000,-69.400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,
0.3402,163.8600,INIT,STANCE,,-69.400,0.100,-69.400,0.0000,0.0000,-0.0002,0.0000,-0.0002,0.0000,0,
0.3483,163.8700,INIT,STANCE,,-69.400,0.000,-69.400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,
0.3601,163.8800,INIT,STANCE,,-69.400,0.000,-69.400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,
0.3683,163.8900,INIT,STANCE,,-69.400,0.000,-69.400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,
0.3802,163.9000,INIT,STANCE,,-69.400,0.000,-69.400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,
0.3883,163.9100,INIT,STANCE,,-69.400,0.200,-69.400,0.0000,0.0000,-0.0003,0.0000,-0.0003,0.0000,0,
0.4042,163.9200,INIT,STANCE,,-69.400,0.000,-69.400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,
0.4123,163.9300,INIT,STANCE,,-69.400,0.100,-69.400,0.0000,0.0000,-0.0002,0.0000,-0.0002,0.0000,0,
0.4243,163.9400,INIT,STANCE,,-69.400,0.000,-69.400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,
0.4322,163.9500,INIT,STANCE,,-69.400,0.000,-69.400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,
0.4443,163.9600,INIT,STANCE,,-69.400,0.200,-69.400,0.0000,0.0000,-0.0003,0.0000,-0.0003,0.0000,0,
0.4523,163.9700,INIT,STANCE,,-69.400,0.000,-69.400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,
0.4642,163.9800,INIT,STANCE,,-69.400,0.100,-69.400,0.0000,0.0000,-0.0002,0.0000,-0.0002,0.0000,0,
0.4720,163.9900,INIT,STANCE,,-69.400,0.200,-69.400,0.0000,0.0000,-0.0003,0.0000,-0.0003,0.0000,0,
0.4802,164.0000,INIT,STANCE,,-69.400,0.200,-69.400,0.0000,0.0000,-0.0003,0.0000,-0.0003,0.0000,0,
0.4923,164.0100,INIT,STANCE,,-69.400,0.300,-69.400,0.0000,0.0000,-0.0004,0.0000,-0.0004,0.0000,0,
0.5043,164.0200,INIT,STANCE,,-69.400,-0.400,-69.400,0.0000,0.0000,0.0006,0.0000,0.0006,0.0000,1,
0.5123,164.0300,INIT,STANCE,,-69.400,0.000,-69.400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,
0.5243,164.0400,INIT,STANCE,,-69.400,0.500,-69.400,0.0000,0.0000,-0.0008,0.0000,-0.0008,0.0000,0,
0.5322,164.0500,INIT,STANCE,,-69.400,-0.400,-69.400,0.0000,0.0000,0.0006,0.0000,0.0006,0.0000,1,
