t_s,timestamp,state,phase,phase_progress,belt_length,belt_velocity,target_belt_length,profile,assist_gain,force_n,assist_force_n,impedance_force_n,current_a,saturated,faults
0.0059,138.0800,INIT,STANCE,,-66.500,367.900,-66.500,0.0000,0.0000,-0.5518,0.0000,-0.5518,0.0000,0,
0.0177,138.0900,INIT,STANCE,,-61.500,322.500,-61.500,0.0000,0.0000,-0.4838,0.0000,-0.4838,0.0000,0,
0.0297,138.1000,INIT,STANCE,,-58.200,339.500,-58.200,0.0000,0.0000,-0.5092,0.0000,-0.5092,0.0000,0,
0.0416,138.1100,INIT,STANCE,,-54.700,352.400,-54.700,0.0000,0.0000,-0.5286,0.0000,-0.5286,0.0000,0,
0.0498,138.1200,INIT,STANCE,,-51.100,370.800,-51.100,0.0000,0.0000,-0.5562,0.0000,-0.5562,0.0000,0,
0.0618,138.1300,INIT,STANCE,,-47.300,379.800,-47.300,0.0000,0.0000,-0.5697,0.0000,-0.5697,0.0000,0,
0.0699,138.1400,INIT,STANCE,,-43.800,387.000,-43.800,0.0000,0.0000,-0.5805,0.0000,-0.5805,0.0000,0,
0.0819,138.1500,INIT,STANCE,,-39.900,394.200,-39.900,0.0000,0.0000,-0.5913,0.0000,-0.5913,0.0000,0,
0.0898,138.1600,INIT,STANCE,,-35.900,396.300,-35.900,0.0000,0.0000,-0.5945,0.0000,-0.5945,0.0000,0,
0.1056,138.1700,INIT,STANCE,,-32.000,389.500,-32.000,0.0000,0.0000,-0.5843,0.0000,-0.5843,0.0000,0,
0.1175,138.1800,INIT,STANCE,,-28.300,366.300,-28.300,0.0000,0.0000,-0.5494,0.0000,-0.5494,0.0000,0,
0.1257,138.2000,INIT,STANCE,,-21.600,309.300,-21.600,0.0000,0.0000,-0.4640,0.0000,-0.4640,0.0000,0,
0.1338,138.2100,INIT,STANCE,,-18.700,276.000,-18.700,0.0000,0.0000,-0.4140,0.0000,-0.4140,0.0000,0,
0.1497,138.2200,INIT,STANCE,,-16.100,247.700,-16.100,0.0000,0.0000,-0.3715,0.0000,-0.3715,0.0000,0,
0.1577,138.2300,INIT,STANCE,,-13.900,218.300,-13.900,0.0000,0.0000,-0.3275,0.0000,-0.3275,0.0000,0,
0.1658,138.2400,INIT,STANCE,,-11.900,187.400,-11.900,0.0000,0.0000,-0.2811,0.0000,-0.2811,0.0000,0,
0.1778,138.2500,INIT,STANCE,,-10.200,161.800,-10.200,0.0000,0.0000,-0.2427,0.0000,-0.2427,0.0000,0,
0.1898,138.2600,INIT,STANCE,,-8.700,143.100,-8.700,0.0000,0.0000,-0.2147,0.0000,-0.2147,0.0000,0,
0.1978,138.2700,INIT,STANCE,,-7.400,125.500,-7.400,0.0000,0.0000,-0.1883,0.0000,-0.1883,0.0000,0,
0.2098,138.2800,INIT,STANCE,,-6.300,100.400,-6.300,0.0000,0.0000,-0.1506,0.0000,-0.1506,0.0000,0,
0.2178,138.2900,INIT,STANCE,,-5.500,76.100,-5.500,0.0000,0.0000,-0.1141,0.0000,-0.1141,0.0000,0,
0.2298,138.3000,INIT,STANCE,,-4.800,62.100,-4.800,0.0000,0.0000,-0.0932,0.0000,-0.0932,0.0000,0,
0.2378,138.3100,INIT,STANCE,,-4.300,55.300,-4.300,0.0000,0.0000,-0.0829,0.0000,-0.0829,0.0000,0,
0.2497,138.3200,INIT,STANCE,,-3.700,49.900,-3.700,0.0000,0.0000,-0.0748,0.0000,-0.0748,0.0000,0,
0.2578,138.3300,INIT,STANCE,,-3.300,42.600,-3.300,0.0000,0.0000,-0.0639,0.0000,-0.0639,0.0000,0,
0.2698,138.3400,INIT,STANCE,,-2.900,30.200,-2.900,0.0000,0.0000,-0.0453,0.0000,-0.0453,0.0000,0,
0.2778,138.3500,INIT,STANCE,,-2.800,9.100,-2.800,0.0000,0.0000,-0.0136,0.0000,-0.0136,0.0000,0,
0.2897,138.3600,INIT,STANCE,,-2.800,-2.800,-2.800,0.0000,0.0000,0.0042,0.0000,0.0042,0.0508,0,
0.3018,138.3700,INIT,STANCE,,-2.800,-0.300,-2.800,0.0000,0.0000,0.0004,0.0000,0.0004,0.0465,0,
0.3098,138.3800,INIT,STANCE,,-2.800,-1.000,-2.800,0.0000,0.0000,0.0015,0.0000,0.0015,0.0477,0,
0.3218,138.3900,INIT,STANCE,,-2.800,-1.700,-2.800,0.0000,0.0000,0.0026,0.0000,0.0026,0.0489,0,
0.3298,138.4000,INIT,STANCE,,-2.800,-4.800,-2.800,0.0000,0.0000,0.0072,0.0000,0.0072,0.0543,0,
0.3418,138.4100,INIT,STANCE,,-2.900,-10.200,-2.900,0.0000,0.0000,0.0153,0.0000,0.0153,0.0636,0,
0.3497,138.4200,INIT,STANCE,,-3.100,-17.900,-3.100,0.0000,0.0000,0.0268,0.0000,0.0268,0.0768,0,
0.3618,138.4300,INIT,STANCE,,-3.300,-21.300,-3.300,0.0000,0.0000,0.0319,0.0000,0.0319,0.0827,0,
