t_s,timestamp,state,phase,phase_progress,belt_length,belt_velocity,target_belt_length,profile,assist_gain,force_n,current_a,saturated,faults
0.0199,835.0800,INIT,STANCE,0.0000,-24.200,-0.200,-24.200,0.0000,0.0000,0.0010,0.0000,1,
0.0279,835.0900,INIT,STANCE,0.0139,-24.200,0.500,-24.200,0.0000,0.0000,-0.0025,0.0000,0,
0.0399,835.1000,INIT,STANCE,0.0278,-24.200,-0.200,-24.200,0.0000,0.0000,0.0010,0.0000,1,
0.0481,835.1100,INIT,STANCE,0.0417,-24.200,0.000,-24.200,0.0000,0.0000,0.0000,0.0000,0,
0.0601,835.1200,INIT,STANCE,0.0556,-24.200,0.500,-24.200,0.0000,0.0000,-0.0025,0.0000,0,
0.0679,835.1300,INIT,STANCE,0.0694,-24.200,0.400,-24.200,0.0000,0.0000,-0.0020,0.0000,0,
0.0801,835.1400,INIT,STANCE,0.0833,-24.200,0.000,-24.200,0.0000,0.0000,0.0000,0.0000,0,
0.0882,835.1500,INIT,STANCE,0.0972,-24.200,0.000,-24.200,0.0000,0.0000,0.0000,0.0000,0,
0.1001,835.1600,INIT,STANCE,0.1111,-24.200,0.000,-24.200,0.0000,0.0000,0.0000,0.0000,0,
0.1081,835.1700,INIT,STANCE,0.1250,-24.200,0.500,-24.200,0.0000,0.0000,-0.0025,0.0000,0,
0.1199,835.1800,INIT,STANCE,0.1389,-24.200,-0.200,-24.200,0.0000,0.0000,0.0010,0.0000,1,
0.1281,835.1900,INIT,STANCE,0.1528,-24.200,0.400,-24.200,0.0000,0.0000,-0.0020,0.0000,0,
0.1401,835.2000,INIT,STANCE,0.1667,-24.200,0.000,-24.200,0.0000,0.0000,0.0000,0.0000,0,
0.1479,835.2100,INIT,STANCE,0.1806,-24.200,0.100,-24.200,0.0000,0.0000,-0.0005,0.0000,0,
0.1601,835.2200,INIT,STANCE,0.1944,-24.200,-0.200,-24.200,0.0000,0.0000,0.0010,0.0000,1,
0.1680,835.2300,INIT,STANCE,0.2083,-24.200,0.000,-24.200,0.0000,0.0000,0.0000,0.0000,0,
0.1801,835.2400,INIT,STANCE,0.2222,-24.200,0.000,-24.200,0.0000,0.0000,0.0000,0.0000,0,
0.1881,835.2500,INIT,STANCE,0.2361,-24.200,0.000,-24.200,0.0000,0.0000,0.0000,0.0000,0,
0.2000,835.2600,INIT,STANCE,0.2500,-24.200,0.000,-24.200,0.0000,0.0000,0.0000,0.0000,0,
0.2081,835.2700,INIT,STANCE,0.2639,-24.200,0.100,-24.200,0.0000,0.0000,-0.0005,0.0000,0,
0.2199,835.2800,INIT,STANCE,0.2778,-24.200,0.400,-24.200,0.0000,0.0000,-0.0020,0.0000,0,
0.2281,835.2900,INIT,STANCE,0.2917,-24.200,-0.400,-24.200,0.0000,0.0000,0.0020,0.0000,1,
0.2400,835.3000,INIT,STANCE,0.3056,-24.200,1.200,-24.200,0.0000,0.0000,-0.0060,0.0000,0,
0.2481,835.3100,INIT,STANCE,0.3194,-24.200,-0.200,-24.200,0.0000,0.0000,0.0010,0.0000,1,
0.2599,835.3200,INIT,STANCE,0.3333,-24.200,0.300,-24.200,0.0000,0.0000,-0.0015,0.0000,0,
0.2680,835.3300,INIT,STANCE,0.3472,-24.200,-0.100,-24.200,0.0000,0.0000,0.0005,0.0000,1,
0.2801,835.3400,INIT,STANCE,0.3611,-24.200,0.300,-24.200,0.0000,0.0000,-0.0015,0.0000,0,
0.2880,835.3500,INIT,STANCE,0.3750,-24.200,-0.200,-24.200,0.0000,0.0000,0.0010,0.0000,1,
0.3000,835.3600,INIT,STANCE,0.3889,-24.200,0.000,-24.200,0.0000,0.0000,0.0000,0.0000,0,
0.3080,835.3700,INIT,STANCE,0.4028,-24.200,0.000,-24.200,0.0000,0.0000,0.0000,0.0000,0,
0.3200,835.3800,INIT,STANCE,0.4167,-24.200,0.200,-24.200,0.0000,0.0000,-0.0010,0.0000,0,
0.3280,835.3900,INIT,STANCE,0.4306,-24.200,0.000,-24.200,0.0000,0.0000,0.0000,0.0000,0,
0.3399,835.4000,INIT,STANCE,0.4444,-24.200,0.000,-24.200,0.0000,0.0000,0.0000,0.0000,0,
0.3481,835.4100,INIT,STANCE,0.4583,-24.200,0.100,-24.200,0.0000,0.0000,-0.0005,0.0000,0,
0.3600,835.4200,INIT,STANCE,0.4722,-24.200,0.900,-24.200,0.0000,0.0000,-0.0045,0.0000,0,
0.3679,835.4300,INIT,STANCE,0.4861,-24.200,0.400,-24.200,0.0000,0.0000,-0.0020,0.0000,0,
0.3800,835.4400,INIT,STANCE,0.5000,-24.200,0.000,-24.200,0.0000,0.0000,0.0000,0.0000,0,
0.3880,835.4500,INIT,STANCE,0.5139,-24.200,0.800,-24.200,0.0000,0.0000,-0.0040,0.0000,0,
0.4000,835.4600,INIT,STANCE,0.5278,-24.200,0.700,-24.200,0.0000,0.0000,-0.0035,0.0000,0,
0.4081,835.4700,INIT,STANCE,0.5417,-24.200,0.100,-24.200,0.0000,0.0000,-0.0005,0.0000,0,
0.4200,835.4800,INIT,STANCE,0.5556,-24.200,0.300,-24.200,0.0000,0.0000,-0.0015,0.0000,0,
0.4280,835.4900,INIT,STANCE,0.5694,-24.200,0.200,-24.200,0.0000,0.0000,-0.0010,0.0000,0,
0.4401,835.5000,INIT,STANCE,0.5833,-24.200,0.000,-24.200,0.0000,0.0000,0.0000,0.0000,0,
