t_s,timestamp,state,phase,phase_progress,belt_length,belt_velocity,target_belt_length,profile,assist_gain,force_n,assist_force_n,impedance_force_n,current_a,saturated,faults
0.0067,571.9000,INIT,STANCE,,-62.700,-0.100,-62.700,0.0000,0.0000,0.0002,0.0000,0.0002,0.0461,0,
0.0187,571.9100,INIT,STANCE,,-62.700,0.000,-62.700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,
0.0266,571.9200,INIT,STANCE,,-62.700,-0.200,-62.700,0.0000,0.0000,0.0003,0.0000,0.0003,0.0463,0,
0.0386,571.9300,INIT,STANCE,,-62.700,0.400,-62.700,0.0000,0.0000,-0.0006,0.0000,-0.0006,0.0000,0,
0.0465,571.9400,INIT,STANCE,,-62.700,-1.100,-62.700,0.0000,0.0000,0.0017,0.0000,0.0017,0.0479,0,
0.0585,571.9500,INIT,STANCE,,-62.700,1.000,-62.700,0.0000,0.0000,-0.0015,0.0000,-0.0015,0.0000,0,
0.0707,571.9600,INIT,STANCE,,-62.700,-1.200,-62.700,0.0000,0.0000,0.0018,0.0000,0.0018,0.0480,0,
0.0827,571.9700,INIT,STANCE,,-62.700,1.100,-62.700,0.0000,0.0000,-0.0017,0.0000,-0.0017,0.0000,0,
0.0908,571.9800,INIT,STANCE,,-62.700,-0.900,-62.700,0.0000,0.0000,0.0014,0.0000,0.0014,0.0475,0,
0.1067,571.9900,INIT,STANCE,,-62.700,1.300,-62.700,0.0000,0.0000,-0.0020,0.0000,-0.0020,0.0000,0,
0.1187,572.0000,INIT,STANCE,,-62.700,-0.800,-62.700,0.0000,0.0000,0.0012,0.0000,0.0012,0.0474,0,
0.1267,572.0200,INIT,STANCE,,-62.700,-0.900,-62.700,0.0000,0.0000,0.0014,0.0000,0.0014,0.0475,0,
0.1387,572.0300,INIT,STANCE,,-62.700,1.100,-62.700,0.0000,0.0000,-0.0017,0.0000,-0.0017,0.0000,0,
0.1468,572.0400,INIT,STANCE,,-62.700,-0.200,-62.700,0.0000,0.0000,0.0003,0.0000,0.0003,0.0463,0,
0.1587,572.0500,INIT,STANCE,,-62.700,-0.200,-62.700,0.0000,0.0000,0.0003,0.0000,0.0003,0.0463,0,
0.1668,572.0600,INIT,STANCE,,-62.700,0.100,-62.700,0.0000,0.0000,-0.0002,0.0000,-0.0002,0.0000,0,
0.1787,572.0700,INIT,STANCE,,-62.700,0.300,-62.700,0.0000,0.0000,-0.0004,0.0000,-0.0004,0.0000,0,
0.1868,572.0800,INIT,STANCE,,-62.700,-0.300,-62.700,0.0000,0.0000,0.0004,0.0000,0.0004,0.0465,0,
0.1987,572.0900,INIT,STANCE,,-62.700,-0.100,-62.700,0.0000,0.0000,0.0002,0.0000,0.0002,0.0461,0,
0.2068,572.1000,INIT,STANCE,,-62.700,0.100,-62.700,0.0000,0.0000,-0.0002,0.0000,-0.0002,0.0000,0,
0.2187,572.1100,INIT,STANCE,,-62.700,0.400,-62.700,0.0000,0.0000,-0.0006,0.0000,-0.0006,0.0000,0,
0.2266,572.1200,INIT,STANCE,,-62.700,-0.200,-62.700,0.0000,0.0000,0.0003,0.0000,0.0003,0.0463,0,
0.2388,572.1300,INIT,STANCE,,-62.700,-0.500,-62.700,0.0000,0.0000,0.0008,0.0000,0.0008,0.0468,0,
0.2468,572.1400,INIT,STANCE,,-62.700,0.600,-62.700,0.0000,0.0000,-0.0009,0.0000,-0.0009,0.0000,0,
0.2587,572.1500,INIT,STANCE,,-62.700,0.100,-62.700,0.0000,0.0000,-0.0002,0.0000,-0.0002,0.0000,0,
