stride_id,timestamp,is_baseline,gait_state,gait_state_id,confidence,nearest_distance,d_patient,d_healthy,d_target,healthy_region_threshold,inside_healthy_region,manifold_deviation,delta_healthy,stride_time,swing_time,stance_time,swing_ratio,stance_ratio,swing_stance_ratio,phase_source,swing_symmetry_ratio,stance_symmetry_ratio,swing_stance_symmetry_ratio,belt_excursion,peak_belt_velocity,trunk_rms,trunk_acc_rms,trunk_gyro_rms,swing_ratio_error,belt_excursion_error,temporal_symmetry_error,trunk_error,biomechanical_deviation,reference_source,decision_state,assist_score,raw_assist_gain,e_manifold,e_baseline,e_healthy,assist_mode,e_swing,e_excursion,deviation_score,assist_gain,gain_delta,target_belt_length,ood_flag,ood_engaged,valid
16,25.160259341000028,0,S0,0,1.0,0.6722122025802554,0.6722122025802554,0.6417563916262805,0.6417563916262805,0.8562813681631302,1,0.0,0.0018285747780705242,1.3397065130000136,0.5357436029999008,0.8039629100001129,0.3998962442902562,0.6001037557097438,0.6663785061923136,belt_cycle,,,,146.3,686.6,0.183919147958381,0.183919147958381,1.2911427990434987,0.0,0.0,,0.0,0.0,healthy_reference:0p8,IN_RANGE,0.0,0.0,0.7494690594552554,0.8463273029666567,0.7494690594552554,healthy_directed,0.014572203877689465,0.0,0.37910619089093456,0.0,0.0,-128.09166213529025,0,0,1
17,26.491197502999967,0,S0,0,1.0,0.7763580972875667,0.7763580972875667,0.6390396875274872,0.6390396875274872,0.8562813681631302,1,0.0,0.004545278876863845,1.3309381619999385,0.528789536999966,0.8021486249999725,0.3973058644628378,0.6026941355371622,0.6592164101758375,belt_cycle,,,,125.5,619.8,0.16629694342439139,0.16629694342439139,1.6822347264286892,0.0,0.0,,0.0,0.0,healthy_reference:0p8,IN_RANGE,0.0,0.0,0.7462963825761344,0.9774488652417256,0.7462963825761344,healthy_directed,0.036158702439509825,0.12386057026179573,0.40876791607227925,0.0,0.0,-128.09166213529025,0,0,1
18,27.91153705800002,0,S0,0,1.0,0.5824365647692461,0.5824365647692461,0.3984695103870677,0.3984695103870677,0.8562813681631302,1,0.0,0.24511545601728335,1.420339555000055,0.5409051120000186,0.8794344430000365,0.38082802812599104,0.619171971874009,0.6150601859017661,belt_cycle,,,,136.2,655.9,0.18351714320086177,0.18351714320086177,1.424095555947871,0.0,0.0,,0.0,0.0,healthy_reference:0p8,IN_RANGE,0.0,0.0,0.4653488037954777,0.7332981536458636,0.4653488037954777,healthy_directed,0.173474005246566,0.0,0.2847166034717087,0.0,0.0,-128.09166213529025,0,0,1
19,29.26029854100011,0,S0,0,1.0,0.6556732646063123,0.6556732646063123,0.5158434022674953,0.5158434022674953,0.8562813681631302,1,0.0,0.12774156413685578,1.3487614830000894,0.5684064580000268,0.7803550250000626,0.42142844762715476,0.5785715523728452,0.7283946918903753,belt_cycle,,,,140.60000000000002,684.4,0.18543233642621282,0.18543233642621282,1.615406287341802,0.0,0.0,,0.0,0.0,healthy_reference:0p8,IN_RANGE,0.0,0.0,0.6024227799958646,0.8255044813700062,0.6024227799958646,healthy_directed,0.16486282392979834,0.0,0.3506702371768718,0.0,0.0,-128.09166213529025,0,0,1
20,30.600177078000115,0,S0,0,1.0,0.44506684230539956,0.44506684230539956,0.2926471942061805,0.2926471942061805,0.8562813681631302,1,0.0,0.3509377721981705,1.3398785370000041,0.5401885359999596,0.7996900010000445,0.4031623173914293,0.5968376826085707,0.675497424407498,belt_cycle,,,,129.3,634.1,0.1665531886521434,0.1665531886521434,1.6053844427696702,0.0,0.0,,0.0,0.0,healthy_reference:0p8,IN_RANGE,0.0,0.0,0.34176522471107684,0.560347192214566,0.34176522471107684,healthy_directed,0.012645071965419752,0.06705316123386586,0.1880867661919375,0.0,0.0,-128.09166213529025,0,0,1
21,31.931621291000056,0,S0,0,1.0,0.5942724822456297,0.5942724822456297,0.5026139316674954,0.5026139316674954,0.8562813681631302,1,0.0,0.14097103473685568,1.3314442129999406,0.5287434589999975,0.8027007539999431,0.3971202502045958,0.6028797497954043,0.6587055716158391,belt_cycle,,,,147.9,716.5,0.17797375771950968,0.17797375771950968,1.589689339153239,0.0,0.0,,0.0,0.0,healthy_reference:0p8,IN_RANGE,0.0,0.0,0.5869728693801759,0.7481997875011753,0.5869728693801759,healthy_directed,0.03770548792485969,0.0,0.30479808106754586,0.0,0.0,-128.09166213529025,0,0,1
22,33.260315452999976,0,S0,0,1.0,0.8182217788718278,0.8182217788718278,0.7033770573652471,0.7033770573652471,0.8562813681631302,1,0.0,-0.059792090960896105,1.3286941619999197,0.5397731460000159,0.7889210159999038,0.40624333382150324,0.5937566661784968,0.6841916174788297,belt_cycle,,,,121.80000000000001,652.8,0.209829553842463,0.209829553842463,1.4488762517196414,0.0,0.0,,0.008859868205997158,0.0,healthy_reference:0p8,IN_RANGE,0.0,0.0,0.8214321641426242,1.0,0.8214321641426242,healthy_directed,0.038320208882702364,0.17917304747320079,0.458046754230763,0.0,0.0,-128.09166213529025,0,0,1
23,34.5718070800001,0,S0,0,1.0,0.5818709942694605,0.5818709942694605,0.5123300564874245,0.5123300564874245,0.8562813681631302,1,0.0,0.13125490991692657,1.3114916270001231,0.5355559829999947,0.7759356440001284,0.4083563874708172,0.5916436125291828,0.6902067035341737,belt_cycle,,,,131.89999999999998,659.3,0.17058339706301615,0.17058339706301615,1.7148045039362365,0.0,0.0,,0.0,0.0,healthy_reference:0p8,IN_RANGE,0.0,0.0,0.5983197527542378,0.7325860901726274,0.5983197527542378,healthy_directed,0.05592898929365209,0.028184934004230267,0.3215755599660606,0.0,0.0,-128.09166213529025,0,0,1
24,35.90044188599995,0,S0,0,1.0,0.7829722495639968,0.7829722495639968,0.7282575292289352,0.7282575292289352,0.8562813681631302,1,0.0,-0.08467256282458413,1.3286348059998545,0.5287306479999643,0.7999041579998902,0.3979503213466336,0.6020496786533664,0.660992498553854,belt_cycle,,,,107.0,553.0,0.1825648611583276,0.1825648611583276,1.582953912477085,0.0,0.06631762652705056,,0.0,0.04642233856893539,healthy_reference:0p8,BIOMECH_DEFICIT_ONLY,0.023211169284467696,0.01856893542757416,0.850488585067747,0.9857762024070362,0.850488585067747,healthy_directed,0.03078822840787791,0.40042295631882185,0.5145653523200013,0.0,0.0,-128.09166213529025,0,0,1
25,37.27175752400012,0,S0,0,1.0,0.8495590717437967,0.8495590717437967,0.6806065092927026,0.6806065092927026,0.8562813681631302,1,0.0,-0.03702154288835158,1.3713156380001692,0.5313047649999589,0.8400108730002103,0.3874416292479364,0.6125583707520635,0.6324974855412686,belt_cycle,,,,125.39999999999999,639.4,0.21487460728154228,0.21487460728154228,1.448385857263905,0.0,0.0,,0.19198112164798925,0.0,healthy_reference:0p8,IN_RANGE,0.0,0.0,0.794839797522069,1.0,0.794839797522069,healthy_directed,0.11836066256368794,0.1253555020783203,0.45799919794580496,0.0,0.0,-128.09166213529025,0,0,1
